id,中文名,English,preferred_hd_path,wiki_page,tooltip_candidate_1,tooltip_candidate_2,legacy_local_path,controller_icon_fallback
titanstring-bow,泰坦弦弓,Titanstring Bow,assets/hd/equipment/titanstring-bow.webp|png|jpg,https://bg3.wiki/wiki/Titanstring_Bow,https://bg3.wiki/wiki/Special:FilePath/Titanstring_Bow_Faded.png,https://bg3.wiki/wiki/Special:FilePath/Titanstring_Bow_Faded.webp,assets/equipment/titanstring-bow.webp,https://bg3.wiki/wiki/Special:FilePath/Titanstring_Bow_Unfaded_Icon.png
joltshooter,震击射手,The Joltshooter,assets/hd/equipment/joltshooter.webp|png|jpg,https://bg3.wiki/wiki/The_Joltshooter,https://bg3.wiki/wiki/Special:FilePath/The_Joltshooter_Faded.png,https://bg3.wiki/wiki/Special:FilePath/The_Joltshooter_Faded.webp,assets/equipment/joltshooter.webp,https://bg3.wiki/wiki/Special:FilePath/The_Joltshooter_Unfaded_Icon.png
adamantine-shield,精金盾牌,Adamantine Shield,assets/hd/equipment/adamantine-shield.webp|png|jpg,https://bg3.wiki/wiki/Adamantine_Shield,https://bg3.wiki/wiki/Special:FilePath/Adamantine_Shield_Faded.png,https://bg3.wiki/wiki/Special:FilePath/Adamantine_Shield_Faded.webp,assets/equipment/adamantine-shield.webp,https://bg3.wiki/wiki/Special:FilePath/Adamantine_Shield_Unfaded_Icon.png
safeguard-shield,守卫盾,Safeguard Shield,assets/hd/equipment/safeguard-shield.webp|png|jpg,https://bg3.wiki/wiki/Safeguard_Shield,https://bg3.wiki/wiki/Special:FilePath/Safeguard_Shield_Faded.png,https://bg3.wiki/wiki/Special:FilePath/Safeguard_Shield_Faded.webp,assets/equipment/safeguard-shield.webp,https://bg3.wiki/wiki/Special:FilePath/Safeguard_Shield_Unfaded_Icon.png
helmet-arcane-acuity,奥术敏锐头盔,Helmet of Arcane Acuity,assets/hd/equipment/helmet-arcane-acuity.webp|png|jpg,https://bg3.wiki/wiki/Helmet_of_Arcane_Acuity,https://bg3.wiki/wiki/Special:FilePath/Helmet_of_Arcane_Acuity_Faded.png,https://bg3.wiki/wiki/Special:FilePath/Helmet_of_Arcane_Acuity_Faded.webp,assets/equipment/helmet-arcane-acuity.webp,https://bg3.wiki/wiki/Special:FilePath/Helmet_of_Arcane_Acuity_Unfaded_Icon.png
hat-fire-acuity,火焰敏锐帽,Hat of Fire Acuity,assets/hd/equipment/hat-fire-acuity.webp|png|jpg,https://bg3.wiki/wiki/Hat_of_Fire_Acuity,https://bg3.wiki/wiki/Special:FilePath/Hat_of_Fire_Acuity_Faded.png,https://bg3.wiki/wiki/Special:FilePath/Hat_of_Fire_Acuity_Faded.webp,assets/equipment/hat-fire-acuity.webp,https://bg3.wiki/wiki/Special:FilePath/Hat_of_Fire_Acuity_Unfaded_Icon.png
covert-cowl,隐秘兜帽,Covert Cowl,assets/hd/equipment/covert-cowl.webp|png|jpg,https://bg3.wiki/wiki/Covert_Cowl,https://bg3.wiki/wiki/Special:FilePath/Covert_Cowl_Faded.png,https://bg3.wiki/wiki/Special:FilePath/Covert_Cowl_Faded.webp,assets/equipment/covert-cowl.webp,https://bg3.wiki/wiki/Special:FilePath/Covert_Cowl_Unfaded_Icon.png
cloak-protection,防护斗篷,Cloak of Protection,assets/hd/equipment/cloak-protection.webp|png|jpg,https://bg3.wiki/wiki/Cloak_of_Protection,https://bg3.wiki/wiki/Special:FilePath/Cloak_of_Protection_Faded.png,https://bg3.wiki/wiki/Special:FilePath/Cloak_of_Protection_Faded.webp,assets/equipment/cloak-protection.webp,https://bg3.wiki/wiki/Special:FilePath/Cloak_of_Protection_Unfaded_Icon.png
cloak-elemental-absorption,元素吸收斗篷,Cloak of Elemental Absorption,assets/hd/equipment/cloak-elemental-absorption.webp|png|jpg,https://bg3.wiki/wiki/Cloak_of_Elemental_Absorption,https://bg3.wiki/wiki/Special:FilePath/Cloak_of_Elemental_Absorption_Faded.png,https://bg3.wiki/wiki/Special:FilePath/Cloak_of_Elemental_Absorption_Faded.webp,assets/equipment/cloak-elemental-absorption.webp,https://bg3.wiki/wiki/Special:FilePath/Cloak_of_Elemental_Absorption_Unfaded_Icon.png
potent-robe,强能长袍,Potent Robe,assets/hd/equipment/potent-robe.webp|png|jpg,https://bg3.wiki/wiki/Potent_Robe,https://bg3.wiki/wiki/Special:FilePath/Potent_Robe_Faded.png,https://bg3.wiki/wiki/Special:FilePath/Potent_Robe_Faded.webp,assets/equipment/potent-robe.webp,https://bg3.wiki/wiki/Special:FilePath/Potent_Robe_Unfaded_Icon.png
yuan-ti,元提鳞甲,Yuan-Ti Scale Mail,assets/hd/equipment/yuan-ti.webp|png|jpg,https://bg3.wiki/wiki/Yuan-Ti_Scale_Mail,https://bg3.wiki/wiki/Special:FilePath/Yuan-Ti_Scale_Mail_Faded.png,https://bg3.wiki/wiki/Special:FilePath/Yuan-Ti_Scale_Mail_Faded.webp,assets/equipment/yuan-ti.webp,https://bg3.wiki/wiki/Special:FilePath/Yuan-Ti_Scale_Mail_Unfaded_Icon.png
dark-justiciar-half,黑暗审判官半身甲,Dark Justiciar Half-Plate,assets/hd/equipment/dark-justiciar-half.webp|png|jpg,https://bg3.wiki/wiki/Dark_Justiciar_Half-Plate,https://bg3.wiki/wiki/Special:FilePath/Dark_Justiciar_Half-Plate_Faded.png,https://bg3.wiki/wiki/Special:FilePath/Dark_Justiciar_Half-Plate_Faded.webp,assets/equipment/dark-justiciar-half.webp,https://bg3.wiki/wiki/Special:FilePath/Dark_Justiciar_Half-Plate_Unfaded_Icon.png
dwarven-splintmail,矮人板条甲,Dwarven Splintmail,assets/hd/equipment/dwarven-splintmail.webp|png|jpg,https://bg3.wiki/wiki/Dwarven_Splintmail,https://bg3.wiki/wiki/Special:FilePath/Dwarven_Splintmail_Faded.png,https://bg3.wiki/wiki/Special:FilePath/Dwarven_Splintmail_Faded.webp,assets/equipment/dwarven-splintmail.webp,https://bg3.wiki/wiki/Special:FilePath/Dwarven_Splintmail_Unfaded_Icon.png
flawed-helldusk,残缺狱火暮光甲,Flawed Helldusk Armour,assets/hd/equipment/flawed-helldusk.webp|png|jpg,https://bg3.wiki/wiki/Flawed_Helldusk_Armour,https://bg3.wiki/wiki/Special:FilePath/Flawed_Helldusk_Armour_Faded.png,https://bg3.wiki/wiki/Special:FilePath/Flawed_Helldusk_Armour_Faded.webp,assets/equipment/flawed-helldusk.webp,https://bg3.wiki/wiki/Special:FilePath/Flawed_Helldusk_Armour_Unfaded_Icon.png
balanced-hands,平衡之手手套,Gloves of the Balanced Hands,assets/hd/equipment/balanced-hands.webp|png|jpg,https://bg3.wiki/wiki/Gloves_of_the_Balanced_Hands,https://bg3.wiki/wiki/Special:FilePath/Gloves_of_the_Balanced_Hands_Faded.png,https://bg3.wiki/wiki/Special:FilePath/Gloves_of_the_Balanced_Hands_Faded.webp,assets/equipment/balanced-hands.webp,https://bg3.wiki/wiki/Special:FilePath/Gloves_of_the_Balanced_Hands_Unfaded_Icon.png
flawed-helldusk-gloves,残缺狱火暮光手套,Flawed Helldusk Gloves,assets/hd/equipment/flawed-helldusk-gloves.webp|png|jpg,https://bg3.wiki/wiki/Flawed_Helldusk_Gloves,https://bg3.wiki/wiki/Special:FilePath/Flawed_Helldusk_Gloves_Faded.png,https://bg3.wiki/wiki/Special:FilePath/Flawed_Helldusk_Gloves_Faded.webp,assets/equipment/flawed-helldusk-gloves.webp,https://bg3.wiki/wiki/Special:FilePath/Flawed_Helldusk_Gloves_Unfaded_Icon.png
gloves-crushing,粉碎手套,Gloves of Crushing,assets/hd/equipment/gloves-crushing.webp|png|jpg,https://bg3.wiki/wiki/Gloves_of_Crushing,https://bg3.wiki/wiki/Special:FilePath/Gloves_of_Crushing_Faded.png,https://bg3.wiki/wiki/Special:FilePath/Gloves_of_Crushing_Faded.webp,assets/equipment/gloves-crushing.webp,https://bg3.wiki/wiki/Special:FilePath/Gloves_of_Crushing_Unfaded_Icon.png
dark-justiciar-gauntlets,黑暗审判官手套,Dark Justiciar Gauntlets,assets/hd/equipment/dark-justiciar-gauntlets.webp|png|jpg,https://bg3.wiki/wiki/Dark_Justiciar_Gauntlets,https://bg3.wiki/wiki/Special:FilePath/Dark_Justiciar_Gauntlets_Faded.png,https://bg3.wiki/wiki/Special:FilePath/Dark_Justiciar_Gauntlets_Faded.webp,assets/equipment/dark-justiciar-gauntlets.webp,https://bg3.wiki/wiki/Special:FilePath/Dark_Justiciar_Gauntlets_Unfaded_Icon.png
evasive-shoes,闪避之鞋,Evasive Shoes,assets/hd/equipment/evasive-shoes.webp|png|jpg,https://bg3.wiki/wiki/Evasive_Shoes,https://bg3.wiki/wiki/Special:FilePath/Evasive_Shoes_Faded.png,https://bg3.wiki/wiki/Special:FilePath/Evasive_Shoes_Faded.webp,assets/equipment/evasive-shoes.webp,https://bg3.wiki/wiki/Special:FilePath/Evasive_Shoes_Unfaded_Icon.png
boots-brilliance,辉煌之靴,Boots of Brilliance,assets/hd/equipment/boots-brilliance.webp|png|jpg,https://bg3.wiki/wiki/Boots_of_Brilliance,https://bg3.wiki/wiki/Special:FilePath/Boots_of_Brilliance_Faded.png,https://bg3.wiki/wiki/Special:FilePath/Boots_of_Brilliance_Faded.webp,assets/equipment/boots-brilliance.webp,https://bg3.wiki/wiki/Special:FilePath/Boots_of_Brilliance_Unfaded_Icon.png
