id,中文名,English,preferred_local_path,candidate_1,candidate_2,candidate_3,candidate_4
gloves-dexterity,敏捷手套,Gloves of Dexterity,assets/equipment/gloves-dexterity.webp,https://bg3.wiki/wiki/Special:FilePath/Gloves_of_Dexterity_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Gloves_of_Dexterity_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/Gloves_of_Dexterity_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Gloves_of_Dexterity_Icon.webp
gloves-power,力量手套,Gloves of Power,assets/equipment/gloves-power.webp,https://bg3.wiki/wiki/Special:FilePath/Gloves_of_Power_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Gloves_of_Power_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/Gloves_of_Power_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Gloves_of_Power_Icon.webp
missile-snaring,飞弹拦截手套,Gloves of Missile Snaring,assets/equipment/missile-snaring.webp,https://bg3.wiki/wiki/Special:FilePath/Gloves_of_Missile_Snaring_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Gloves_of_Missile_Snaring_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/Gloves_of_Missile_Snaring_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Gloves_of_Missile_Snaring_Icon.webp
sparkle-hands,火花之手,The Sparkle Hands,assets/equipment/sparkle-hands.webp,https://bg3.wiki/wiki/Special:FilePath/The_Sparkle_Hands_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/The_Sparkle_Hands_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/The_Sparkle_Hands_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/The_Sparkle_Hands_Icon.webp
belligerent-skies,好战天空手套,Gloves of Belligerent Skies,assets/equipment/belligerent-skies.webp,https://bg3.wiki/wiki/Special:FilePath/Gloves_of_Belligerent_Skies_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Gloves_of_Belligerent_Skies_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/Gloves_of_Belligerent_Skies_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Gloves_of_Belligerent_Skies_Icon.webp
cinder-sizzle,余烬与嘶鸣手套,Gloves of Cinder and Sizzle,assets/equipment/cinder-sizzle.webp,https://bg3.wiki/wiki/Special:FilePath/Gloves_of_Cinder_and_Sizzle_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Gloves_of_Cinder_and_Sizzle_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/Gloves_of_Cinder_and_Sizzle_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Gloves_of_Cinder_and_Sizzle_Icon.webp
boots-speed,速度之靴,Boots of Speed,assets/equipment/boots-speed.webp,https://bg3.wiki/wiki/Special:FilePath/Boots_of_Speed_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Boots_of_Speed_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/Boots_of_Speed_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Boots_of_Speed_Icon.webp
night-walkers,瓦解夜行者,Disintegrating Night Walkers,assets/equipment/night-walkers.webp,https://bg3.wiki/wiki/Special:FilePath/Disintegrating_Night_Walkers_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Disintegrating_Night_Walkers_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/Disintegrating_Night_Walkers_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Disintegrating_Night_Walkers_Icon.webp
stormy-clamour,风暴喧嚣之靴,Boots of Stormy Clamour,assets/equipment/stormy-clamour.webp,https://bg3.wiki/wiki/Special:FilePath/Boots_of_Stormy_Clamour_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Boots_of_Stormy_Clamour_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/Boots_of_Stormy_Clamour_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Boots_of_Stormy_Clamour_Icon.webp
watersparkers,水花行者,The Watersparkers,assets/equipment/watersparkers.webp,https://bg3.wiki/wiki/Special:FilePath/The_Watersparkers_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/The_Watersparkers_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/The_Watersparkers_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/The_Watersparkers_Icon.webp
amulet-misty-step,迷踪步护符,Amulet of Misty Step,assets/equipment/amulet-misty-step.webp,https://bg3.wiki/wiki/Special:FilePath/Amulet_of_Misty_Step_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Amulet_of_Misty_Step_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/Amulet_of_Misty_Step_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Amulet_of_Misty_Step_Icon.webp
psychic-spark,心灵火花,Psychic Spark,assets/equipment/psychic-spark.webp,https://bg3.wiki/wiki/Special:FilePath/Psychic_Spark_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Psychic_Spark_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/Psychic_Spark_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Psychic_Spark_Icon.webp
periapt-wound,伤口闭合护符,Periapt of Wound Closure,assets/equipment/periapt-wound.webp,https://bg3.wiki/wiki/Special:FilePath/Periapt_of_Wound_Closure_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Periapt_of_Wound_Closure_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/Periapt_of_Wound_Closure_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Periapt_of_Wound_Closure_Icon.webp
broodmothers-revenge,育母复仇,Broodmother's Revenge,assets/equipment/broodmothers-revenge.webp,https://bg3.wiki/wiki/Special:FilePath/Broodmother's_Revenge_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Broodmother's_Revenge_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/Broodmother's_Revenge_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Broodmother's_Revenge_Icon.webp
ring-protection,防护戒指,Ring of Protection,assets/equipment/ring-protection.webp,https://bg3.wiki/wiki/Special:FilePath/Ring_of_Protection_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Ring_of_Protection_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/Ring_of_Protection_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Ring_of_Protection_Icon.webp
caustic-band,腐蚀戒指,Caustic Band,assets/equipment/caustic-band.webp,https://bg3.wiki/wiki/Special:FilePath/Caustic_Band_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Caustic_Band_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/Caustic_Band_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Caustic_Band_Icon.webp
crusher-ring,粉碎者之戒,Crusher's Ring,assets/equipment/crusher-ring.webp,https://bg3.wiki/wiki/Special:FilePath/Crusher's_Ring_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Crusher's_Ring_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/Crusher's_Ring_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Crusher's_Ring_Icon.webp
strange-conduit,奇异导管戒指,Strange Conduit Ring,assets/equipment/strange-conduit.webp,https://bg3.wiki/wiki/Special:FilePath/Strange_Conduit_Ring_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Strange_Conduit_Ring_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/Strange_Conduit_Ring_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Strange_Conduit_Ring_Icon.webp
whispering-promise,低语承诺,The Whispering Promise,assets/equipment/whispering-promise.webp,https://bg3.wiki/wiki/Special:FilePath/The_Whispering_Promise_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/The_Whispering_Promise_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/The_Whispering_Promise_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/The_Whispering_Promise_Icon.webp
phalar-aluve,法拉·阿鲁维,Phalar Aluve,assets/equipment/phalar-aluve.webp,https://bg3.wiki/wiki/Special:FilePath/Phalar_Aluve_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Phalar_Aluve_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/Phalar_Aluve_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Phalar_Aluve_Icon.webp
undermountain-king,山丘巨王短刀,Knife of the Undermountain King,assets/equipment/undermountain-king.webp,https://bg3.wiki/wiki/Special:FilePath/Knife_of_the_Undermountain_King_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Knife_of_the_Undermountain_King_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/Knife_of_the_Undermountain_King_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Knife_of_the_Undermountain_King_Icon.webp
blood-lathander,洛山达之血,The Blood of Lathander,assets/equipment/blood-lathander.webp,https://bg3.wiki/wiki/Special:FilePath/The_Blood_of_Lathander_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/The_Blood_of_Lathander_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/The_Blood_of_Lathander_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/The_Blood_of_Lathander_Icon.webp
returning-pike,回归长矛,Returning Pike,assets/equipment/returning-pike.webp,https://bg3.wiki/wiki/Special:FilePath/Returning_Pike_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Returning_Pike_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/Returning_Pike_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Returning_Pike_Icon.webp
unseen-menace,隐形威胁,Unseen Menace,assets/equipment/unseen-menace.webp,https://bg3.wiki/wiki/Special:FilePath/Unseen_Menace_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Unseen_Menace_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/Unseen_Menace_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Unseen_Menace_Icon.webp
cacophony,杂音,Cacophony,assets/equipment/cacophony.webp,https://bg3.wiki/wiki/Special:FilePath/Cacophony_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Cacophony_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/Cacophony_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Cacophony_Icon.webp
club-hill-giant,山丘巨人力量短棒,Club of Hill Giant Strength,assets/equipment/club-hill-giant.webp,https://bg3.wiki/wiki/Special:FilePath/Club_of_Hill_Giant_Strength_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Club_of_Hill_Giant_Strength_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/Club_of_Hill_Giant_Strength_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Club_of_Hill_Giant_Strength_Icon.webp
spellsparkler,法术火花,The Spellsparkler,assets/equipment/spellsparkler.webp,https://bg3.wiki/wiki/Special:FilePath/The_Spellsparkler_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/The_Spellsparkler_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/The_Spellsparkler_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/The_Spellsparkler_Icon.webp
mourning-frost,悼霜,Mourning Frost,assets/equipment/mourning-frost.webp,https://bg3.wiki/wiki/Special:FilePath/Mourning_Frost_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Mourning_Frost_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/Mourning_Frost_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Mourning_Frost_Icon.webp
staff-arcane-blessing,奥术祝福法杖,Staff of Arcane Blessing,assets/equipment/staff-arcane-blessing.webp,https://bg3.wiki/wiki/Special:FilePath/Staff_of_Arcane_Blessing_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Staff_of_Arcane_Blessing_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/Staff_of_Arcane_Blessing_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Staff_of_Arcane_Blessing_Icon.webp
titanstring-bow,泰坦弦弓,Titanstring Bow,assets/equipment/titanstring-bow.webp,https://bg3.wiki/wiki/Special:FilePath/Titanstring_Bow_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Titanstring_Bow_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/Titanstring_Bow_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Titanstring_Bow_Icon.webp
joltshooter,震击射手,The Joltshooter,assets/equipment/joltshooter.webp,https://bg3.wiki/wiki/Special:FilePath/The_Joltshooter_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/The_Joltshooter_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/The_Joltshooter_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/The_Joltshooter_Icon.webp
adamantine-shield,精金盾牌,Adamantine Shield,assets/equipment/adamantine-shield.webp,https://bg3.wiki/wiki/Special:FilePath/Adamantine_Shield_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Adamantine_Shield_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/Adamantine_Shield_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Adamantine_Shield_Icon.webp
safeguard-shield,守卫盾,Safeguard Shield,assets/equipment/safeguard-shield.webp,https://bg3.wiki/wiki/Special:FilePath/Safeguard_Shield_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Safeguard_Shield_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/Safeguard_Shield_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Safeguard_Shield_Icon.webp
helmet-arcane-acuity,奥术敏锐头盔,Helmet of Arcane Acuity,assets/equipment/helmet-arcane-acuity.webp,https://bg3.wiki/wiki/Special:FilePath/Helmet_of_Arcane_Acuity_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Helmet_of_Arcane_Acuity_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/Helmet_of_Arcane_Acuity_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Helmet_of_Arcane_Acuity_Icon.webp
hat-fire-acuity,火焰敏锐帽,Hat of Fire Acuity,assets/equipment/hat-fire-acuity.webp,https://bg3.wiki/wiki/Special:FilePath/Hat_of_Fire_Acuity_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Hat_of_Fire_Acuity_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/Hat_of_Fire_Acuity_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Hat_of_Fire_Acuity_Icon.webp
covert-cowl,隐秘兜帽,Covert Cowl,assets/equipment/covert-cowl.webp,https://bg3.wiki/wiki/Special:FilePath/Covert_Cowl_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Covert_Cowl_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/Covert_Cowl_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Covert_Cowl_Icon.webp
cloak-protection,防护斗篷,Cloak of Protection,assets/equipment/cloak-protection.webp,https://bg3.wiki/wiki/Special:FilePath/Cloak_of_Protection_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Cloak_of_Protection_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/Cloak_of_Protection_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Cloak_of_Protection_Icon.webp
cloak-elemental-absorption,元素吸收斗篷,Cloak of Elemental Absorption,assets/equipment/cloak-elemental-absorption.webp,https://bg3.wiki/wiki/Special:FilePath/Cloak_of_Elemental_Absorption_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Cloak_of_Elemental_Absorption_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/Cloak_of_Elemental_Absorption_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Cloak_of_Elemental_Absorption_Icon.webp
potent-robe,强能长袍,Potent Robe,assets/equipment/potent-robe.webp,https://bg3.wiki/wiki/Special:FilePath/Potent_Robe_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Potent_Robe_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/Potent_Robe_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Potent_Robe_Icon.webp
yuan-ti,元提鳞甲,Yuan-Ti Scale Mail,assets/equipment/yuan-ti.webp,https://bg3.wiki/wiki/Special:FilePath/Yuan-Ti_Scale_Mail_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Yuan-Ti_Scale_Mail_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/Yuan-Ti_Scale_Mail_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Yuan-Ti_Scale_Mail_Icon.webp
dark-justiciar-half,黑暗审判官半身甲,Dark Justiciar Half-Plate,assets/equipment/dark-justiciar-half.webp,https://bg3.wiki/wiki/Special:FilePath/Dark_Justiciar_Half-Plate_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Dark_Justiciar_Half-Plate_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/Dark_Justiciar_Half-Plate_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Dark_Justiciar_Half-Plate_Icon.webp
dwarven-splintmail,矮人板条甲,Dwarven Splintmail,assets/equipment/dwarven-splintmail.webp,https://bg3.wiki/wiki/Special:FilePath/Dwarven_Splintmail_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Dwarven_Splintmail_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/Dwarven_Splintmail_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Dwarven_Splintmail_Icon.webp
flawed-helldusk,残缺狱火暮光甲,Flawed Helldusk Armour,assets/equipment/flawed-helldusk.webp,https://bg3.wiki/wiki/Special:FilePath/Flawed_Helldusk_Armour_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Flawed_Helldusk_Armour_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/Flawed_Helldusk_Armour_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Flawed_Helldusk_Armour_Icon.webp
balanced-hands,平衡之手手套,Gloves of the Balanced Hands,assets/equipment/balanced-hands.webp,https://bg3.wiki/wiki/Special:FilePath/Gloves_of_the_Balanced_Hands_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Gloves_of_the_Balanced_Hands_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/Gloves_of_the_Balanced_Hands_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Gloves_of_the_Balanced_Hands_Icon.webp
flawed-helldusk-gloves,残缺狱火暮光手套,Flawed Helldusk Gloves,assets/equipment/flawed-helldusk-gloves.webp,https://bg3.wiki/wiki/Special:FilePath/Flawed_Helldusk_Gloves_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Flawed_Helldusk_Gloves_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/Flawed_Helldusk_Gloves_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Flawed_Helldusk_Gloves_Icon.webp
gloves-crushing,粉碎手套,Gloves of Crushing,assets/equipment/gloves-crushing.webp,https://bg3.wiki/wiki/Special:FilePath/Gloves_of_Crushing_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Gloves_of_Crushing_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/Gloves_of_Crushing_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Gloves_of_Crushing_Icon.webp
dark-justiciar-gauntlets,黑暗审判官手套,Dark Justiciar Gauntlets,assets/equipment/dark-justiciar-gauntlets.webp,https://bg3.wiki/wiki/Special:FilePath/Dark_Justiciar_Gauntlets_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Dark_Justiciar_Gauntlets_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/Dark_Justiciar_Gauntlets_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Dark_Justiciar_Gauntlets_Icon.webp
evasive-shoes,闪避之鞋,Evasive Shoes,assets/equipment/evasive-shoes.webp,https://bg3.wiki/wiki/Special:FilePath/Evasive_Shoes_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Evasive_Shoes_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/Evasive_Shoes_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Evasive_Shoes_Icon.webp
boots-brilliance,辉煌之靴,Boots of Brilliance,assets/equipment/boots-brilliance.webp,https://bg3.wiki/wiki/Special:FilePath/Boots_of_Brilliance_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Boots_of_Brilliance_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/Boots_of_Brilliance_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Boots_of_Brilliance_Icon.webp
spineshudder,脊椎震颤护符,Spineshudder Amulet,assets/equipment/spineshudder.webp,https://bg3.wiki/wiki/Special:FilePath/Spineshudder_Amulet_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Spineshudder_Amulet_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/Spineshudder_Amulet_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Spineshudder_Amulet_Icon.webp
